type;post_title;code;sku;parent;post_content;regular_price;sale_price;weight;length;width;height;images;categories;tags;color_codes;attribute 1 name;attribute 1 value(s);attribute 1 global;attribute 2 name;attribute 2 value(s);attribute 2 global;attribute 3 name;attribute 3 value(s);attribute 3 global;attribute 4 name;attribute 4 value(s);attribute 4 global;attribute 5 name;attribute 5 value(s);attribute 5 global
variable;Prodir DS3TMM Matt;DS3TMM;prodir-ds3tmm-matt;;Hij valt op vanwege zijn kwaliteit, niet omdat hij opvallend is. Het icoon onder de promotionele schrijfwaren. Het origineel, tijdloos en onmiskenbaar.;;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TMM-M02.jpg;Schrijfwaren;pennen;M02, M75;Kleuren;White matt,Black matt;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3TMS Matt with Satin Metal Nose-Cone;DS3TMS;prodir-ds3tms-matt-with-satin-metal-nose-cone;;Hij valt op vanwege zijn kwaliteit, niet omdat hij opvallend is. Het icoon onder de promotionele schrijfwaren. Het origineel, tijdloos en onmiskenbaar.;;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TMS-M02.jpg;Schrijfwaren;pennen;M02, M75;Kleuren;White matt,Black matt;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3TPP Polished;DS3TPP;prodir-ds3tpp-polished;;Hij valt op vanwege zijn kwaliteit, niet omdat hij opvallend is. Het icoon onder de promotionele schrijfwaren. Het origineel, tijdloos en onmiskenbaar.;;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TPP-P02.jpg;Schrijfwaren;pennen;P02, P06, P10, P20, P52, P58, P75;Kleuren;White polished,Yellow polished,Orange polished,Red polished,Blue polished,Cyan Blue polished,Black polished;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3TPC Polished with Chrome Metal Nose-Cone;DS3TPC;prodir-ds3tpc-polished-with-chrome-metal-nose-cone;;Hij valt op vanwege zijn kwaliteit, niet omdat hij opvallend is. Het icoon onder de promotionele schrijfwaren. Het origineel, tijdloos en onmiskenbaar.;;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TPC-P02.jpg;Schrijfwaren;pennen;P02, P06, P10, P20, P52, P58, P75;Kleuren;White polished,Yellow polished,Orange polished,Red polished,Blue polished,Cyan Blue polished,Black polished;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3TRR Soft Touch;DS3TRR;prodir-ds3trr-soft-touch;;Hij valt op vanwege zijn kwaliteit, niet omdat hij opvallend is. Het icoon onder de promotionele schrijfwaren. Het origineel, tijdloos en onmiskenbaar.;;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TRR-R10.jpg;Schrijfwaren;pennen;R10, R21, R48, R50, R75;Kleuren;Orange Soft Touch,Dark Red Soft Touch,Lime Green Soft Touch,Dark Blue R50 Soft Touch,Black Soft Touch;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3TTT Transparent;DS3TTT;prodir-ds3ttt-transparent;;Hij valt op vanwege zijn kwaliteit, niet omdat hij opvallend is. Het icoon onder de promotionele schrijfwaren. Het origineel, tijdloos en onmiskenbaar.;;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TTT-T01.jpg;Schrijfwaren;pennen;T01, T06, T10, T20, T25, T30, T35, T40, T42, T50, T55, T75;Kleuren;Clear transparant,Yellow transparant,Orange transparant,Red transparant,Pink transparant,Purple transparant,Aqua transparant,Light Green transparant,Dark Green transparant,Classic Blue transparant,Sky Blue transparant,Anthracite transparant;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3TTC Transparent with Chrome Metal Nose-Cone;DS3TTC;prodir-ds3ttc-transparent-with-chrome-metal-nose-cone;;Hij valt op vanwege zijn kwaliteit, niet omdat hij opvallend is. Het icoon onder de promotionele schrijfwaren. Het origineel, tijdloos en onmiskenbaar.;;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TTC-T01.jpg;Schrijfwaren;pennen;T01, T06, T10, T20, T25, T30, T35, T40, T42, T50, T55, T75;Kleuren;Clear transparant,Yellow transparant,Orange transparant,Red transparant,Pink transparant,Purple transparant,Aqua transparant,Light Green transparant,Dark Green transparant,Classic Blue transparant,Sky Blue transparant,Anthracite transparant;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3 TMM Matt Antibacterial;DS3TMM;prodir-ds3-tmm-matt-antibacterial;;Effectief tegen microben en virussen. Getest conform ISO 22196 beschermt onze antimicrobiële kunststof met een effectiviteit van 99,9 procent tegen bacteriën en andere microben gedurende de totale levensduur van de pen. Uit de antivirus-test conform ISO 21702:2019 bleek dat er na 24 uur bij dezelfde kunststof sprake was van een 43 procent snellere vermindering van het coronavirus in vergelijking met onbehandelde kunststof. Al na 6 uur was er sprake van een virusvermindering van 90 procent en na 24 uur van 99,53 procent.;;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TMM-M02.jpg;Schrijfwaren;pennen;M02;Kleuren;White matt;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3 TPP Matt Antibacterial;DS3TPP;prodir-ds3-tpp-matt-antibacterial;;Effectief tegen microben en virussen. Getest conform ISO 22196 beschermt onze antimicrobiële kunststof met een effectiviteit van 99,9 procent tegen bacteriën en andere microben gedurende de totale levensduur van de pen. Uit de antivirus-test conform ISO 21702:2019 bleek dat er na 24 uur bij dezelfde kunststof sprake was van een 43 procent snellere vermindering van het coronavirus in vergelijking met onbehandelde kunststof. Al na 6 uur was er sprake van een virusvermindering van 90 procent en na 24 uur van 99,53 procent.;;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TPP-P02.jpg;Schrijfwaren;pennen;P02;Kleuren;White polished;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3 Biotic Coloured;DS3TBB;prodir-ds3-biotic-coloured;;"Gemaakt van bioplastic. Het oppervlak en het mechanisme van de DS3 Biotic Pen zijn vervaardigd van 100% hernieuwbare grondstoffen. Voor de DS3 Biotic Pen ""Sand"" omvat dit polyactide (PLA) en hout-kunststof composieten (WPC). Het complete schrijfinstrument (incl. vulling en veer) is tot 75% biologisch afbreekbaar. Houd er rekening mee dat biokunststoffen sterker reageren op omgevingsfactoren zoals warmte, licht, druk en vocht. Voldoet aan de EN 13432-norm voor de composteerbaarheid van biokunststoffen.";;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TBB-B02.jpg;Schrijfwaren;pennen;B02, B10, B21, B40, B52, B75;Kleuren;Snow,Carrot,Fire,Grass,Sea,Night;1;Merken;Prodir;1;Materiaal;PLA;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3 Biotic;DS3TBB;prodir-ds3-biotic;;"Gemaakt van bioplastic. Het oppervlak en het mechanisme van de DS3 Biotic Pen zijn vervaardigd van 100% hernieuwbare grondstoffen. Voor de DS3 Biotic Pen ""Sand"" omvat dit polyactide (PLA) en hout-kunststof composieten (WPC). Het complete schrijfinstrument (incl. vulling en veer) is tot 75% biologisch afbreekbaar. Houd er rekening mee dat biokunststoffen sterker reageren op omgevingsfactoren zoals warmte, licht, druk en vocht. Voldoet aan de EN 13432-norm voor de composteerbaarheid van biokunststoffen.";;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TBB-B04.jpg;Schrijfwaren;pennen;B04;Kleuren;Sand;1;Merken;Prodir;1;Materiaal;PLA;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3.1 TFF Frosted;DS3.1TFF;prodir-ds3.1-tff-frosted;;Het Icoon, licht aangepast, met een grotere clip en een nog soepeler twistsysteem. De evolutie van de klassieker. ;;;11.4;14.08;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3.1TFF-F01.jpg;Schrijfwaren;pennen;F01, F26, F59, F75;Kleuren;Clear frosted,Cherry Red frosted,Night Blue frosted,Anthracite frosted;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.14;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3.1 TFS Frosted with Satin Metal Nose-Cone;DS3.1TFS;prodir-ds3.1-tfs-frosted-with-satin-metal-nose-cone;;Het Icoon, licht aangepast, met een grotere clip en een nog soepeler twistsysteem. De evolutie van de klassieker. ;;;11.4;14.08;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3.1TFS-F01.jpg;Schrijfwaren;pennen;F01, F26, F59, F75;Kleuren;Clear frosted,Cherry Red frosted,Night Blue frosted,Anthracite frosted;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.14;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3.1 TPP Polished;DS3.1TPP;prodir-ds3.1-tpp-polished;;Het Icoon, licht aangepast, met een grotere clip en een nog soepeler twistsysteem. De evolutie van de klassieker. ;;;11.4;14.08;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3.1TPP-P02.jpg;Schrijfwaren;pennen;P02, P75;Kleuren;White polished,Black polished;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.14;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3.1 TPC Polished with Chrome Metal Nose-Cone;DS3.1TPC;prodir-ds3.1-tpc-polished-with-chrome-metal-nose-cone;;Het Icoon, licht aangepast, met een grotere clip en een nog soepeler twistsysteem. De evolutie van de klassieker. ;;;11.4;14.08;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3.1TPC-P02.jpg;Schrijfwaren;pennen;P02, P75;Kleuren;White polished,Black polished;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.14;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3.1 TTT Transparent;DS3.1TTT;prodir-ds3.1-ttt-transparent;;Het Icoon, licht aangepast, met een grotere clip en een nog soepeler twistsysteem. De evolutie van de klassieker. ;;;11.4;14.08;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3.1TTT-T01.jpg;Schrijfwaren;pennen;T01, T26, T36, T59, T75;Kleuren;Clear transparant,Cherry Red transparant,Carribbean Blue transparant,Night Blue transparant,Anthracite transparant;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.14;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3.1 TTC Transparent with Chrome Metal Nose-Cone;DS3.1TTC;prodir-ds3.1-ttc-transparent-with-chrome-metal-nose-cone;;Het Icoon, licht aangepast, met een grotere clip en een nog soepeler twistsysteem. De evolutie van de klassieker. ;;;11.4;14.08;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3.1TTC-T01.jpg;Schrijfwaren;pennen;T01, T26, T36, T59, T75;Kleuren;Clear transparant,Cherry Red transparant,Carribbean Blue transparant,Night Blue transparant,Anthracite transparant;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.14;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS4 PMM Matt;DS4PMM;prodir-ds4-pmm-matt;;De eerste vierkante Prodir communiceert rechtheid en verrast met een clip die lichtjes 45 graden is gedraaid.;;;11;13.7;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS4PMM-M02.jpg;Schrijfwaren;pennen;M02, M06, M10, M20, M34, M54, M56, M62, M70, M75;Kleuren;White matt,Yellow matt matt,Orange matt,Red matt,Mint Cream matt,True Blue matt,Dusty Blue matt,Sodalite Blue matt,Dolphin Grey matt,Black matt;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.1;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS4 PRR Soft Touch;DS4PRR;prodir-ds4-prr-soft-touch;;De eerste vierkante Prodir communiceert rechtheid en verrast met een clip die lichtjes 45 graden is gedraaid.;;;11;13.7;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS4PRR-R06.jpg;Schrijfwaren;pennen;R06, R10, R20, R34, R54, R56, R62, R70, R75;Kleuren;Yellow Soft Touch,Orange Soft Touch,Red Soft Touch,Mint Cream Soft Touch,True Blue R54 Soft Touch,Dusty Blue Soft Touch,Sodalite Blue Soft Touch,Dolphin Grey Soft Touch,Black Soft Touch;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.1;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS5 TFF Frosted;DS5TFF;prodir-ds5-tff-frosted;;Als het een beetje meer mag zijn, is dit model geschikt. Veelkleurig, oppervlakken, meer personalisatie, meer druk oppervlakken. En een prestigieuze award winnend design. ;;;11.5;14.3;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS5TFF-F01.jpg;Schrijfwaren;pennen;F01, F06, F10, F21, F30, F35, F41, F42, F50, F51, F76;Kleuren;Clear frosted,Yellow frosted,Orange frosted,Dark Red frosted,Purple frosted,Aqua frosted,Lime Green frosted,Dark Green frosted,Classic Blue frosted,Ocean Blue frosted,Fume frosted;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.15;1;Inktkleur;Blauw,Zwart;1
